source,source_label,target,target_label,relation,relation_label
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,data/price/2_320_000,2.320.000,co_gia,có giá
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,data/unit/cai,Cái,co_don_vi_tinh,có đơn vị tính
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,data/appraisal_date/24_11_2025,24/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/1_loa_nen_50w_tro_khang_cao_tuong_duong_tc_651m,Loa nén 50W trở kháng cao tương đương TC-651M,data/spec/1.0,"Loa nén 50W trở kháng cao tương đương TC-651M
- Công suất: 50 W
- Điện áp đường dây: 100 V line hoặc 70 V line
- Trở ...",co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/2_o,Ô,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/2_o,Ô,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/2_o,Ô,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/2_o,Ô,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/2_o,Ô,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/2_o,Ô,data/price/70_000,70.000,co_gia,có giá
vat_tu/2_o,Ô,data/unit/cai,cái,co_don_vi_tinh,có đơn vị tính
vat_tu/2_o,Ô,data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/2_o,Ô,data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/2_o,Ô,data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/2_o,Ô,data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/2_o,Ô,data/spec/2.0,Ô,co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/3_ao_mua,áo mưa,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/3_ao_mua,áo mưa,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/3_ao_mua,áo mưa,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
vat_tu/3_ao_mua,áo mưa,concept/vat_tu_tuong_tu,Vật tư tương tự,thuoc_concept,thuộc concept
vat_tu/3_ao_mua,áo mưa,concept/second_brain,Second Brain,thuoc_concept,thuộc concept
vat_tu/3_ao_mua,áo mưa,data/price/10_000,10.000,co_gia,có giá
vat_tu/3_ao_mua,áo mưa,data/unit/cai,cái,co_don_vi_tinh,có đơn vị tính
vat_tu/3_ao_mua,áo mưa,data/appraisal_date/28_11_2025,28/11/2025,co_ngay_tham_dinh,có ngày thẩm định
vat_tu/3_ao_mua,áo mưa,data/certificate/405_2025_156_cttdg_vnvic,405/2025/156/CTTĐG_VNVIC,co_chung_thu,có chứng thư
vat_tu/3_ao_mua,áo mưa,data/source/source,…,co_nguon_du_lieu,có nguồn dữ liệu
vat_tu/3_ao_mua,áo mưa,data/appraiser/pham_thuy_linh,Phạm Thùy Linh,co_nguoi_tham_dinh,có người thẩm định
vat_tu/3_ao_mua,áo mưa,data/spec/3.0,áo mưa,co_thong_so_ky_thuat,có thông số kỹ thuật
vat_tu/4_chi_phi,Chi phí,concept/gia_tham_chieu,Giá tham chiếu,thuoc_concept,thuộc concept
vat_tu/4_chi_phi,Chi phí,concept/nguon_du_lieu,Nguồn dữ liệu,thuoc_concept,thuộc concept
vat_tu/4_chi_phi,Chi phí,concept/quy_tac_chon_gia,Quy tắc chọn giá,thuoc_concept,thuộc concept
