STT;Loại hàng hóa;Tên hàng hóa;Đơn vị tính;Thông số kỹ thuật;Giá thẩm định(VND);Chứng thư thẩm định số;Ngày thẩm định;Nguồn dữ liệu;Người thẩm định
1;;Loa nén 50W trở kháng cao tương đương TC-651M;Cái;"Loa nén 50W trở kháng cao tương đương TC-651M
- Công suất: 50 W
- Điện áp đường dây: 100 V line hoặc 70 V line
- Trở kháng	
  + 100V line: 200Ω (50W), 330Ω (30W), 670Ω (15W)
  + 70V line: 100Ω (50W), 200Ω (25W), 330Ω (15W), 670Ω (75W)
- Cường độ âm: 111 dB (1 W, 1 m)
- Đáp tuyến tần số: 200 Hz - 6 kHz
- Tiêu chuẩn chống bụi/nước	IP65
- Cực tính: Hot: Màu đen, Com: Màu trắng
- Nhiệt độ hoạt động	-20 ℃ tới +60 ℃ (không ngưng tụ)
- Vật liệu
  + Vành loa: nhôm, màu trắng nhạt và được sơn tĩnh điện
  + Tâm loa: nhựa ABS, màu trắng nhạt
  + Viền gắn khung: nhôm, màu xám, sơn tĩnh điện
  + Khung và ốc vít: thép, màu xám, được sơn tĩnh điện
  + Vỏ mặt sau: nhựa ABS, màu xám
- Kích thước: φ400 (R) × 376 (S) mm
- Khối lượng: 4 kg 
- Bảo hành : 12 tháng";2320000;;24/11/2025;;
2;;Ô;cái;Ô;70000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
3;;áo mưa;cái;áo mưa;10000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
4;;Chi phí ;phòng;"Chi phí tiền phòng nghỉ cho các đoàn khách: Bộ VH,TTDL; Cục Di sản văn hóa; Cục Văn hóa cơ sở; Cục Mỹ thuật, nhiếp ảnh và triển lãm, Sở Văn hóa TT và Du lịch 9 tỉnh đồng bằng Sông Hồng (Vĩnh Phúc; Bắc Ninh; Quảng Ninh, Hải Dương; Hải Phòng; Hưng Yên; Thái Bình; Hà Nam; Nam Định), Sở Văn hóa TT và Du lịch tỉnh phụ cận Thanh Hóa, (14 đoàn x 5 người/đoàn = 70 người) được mời về chỉ đạo, kiểm tra và tham dự lễ hội, lái xe 14 người Tổng cộng 84 người = 42 phòng";800000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
5;;Chi phí ;người;"Chi phí ăn cho các đoàn khách: Bộ VH,TTDL; Cục Di sản văn hóa; Cục Văn hóa cơ sở; Cục Mỹ thuật, nhiếp ảnh và triển lãm, Sở Văn hóa TT và Du lịch 9 tỉnh đồng bằng Sông Hồng (Vĩnh Phúc; Bắc Ninh; Quảng Ninh, Hải Dương; Hải Phòng; Hưng Yên; Thái Bình; Hà Nam; Nam Định), Sở Văn hóa TT và Du lịch tỉnh phụ cận Thanh Hóa, (14 đoàn x 5 người/đoàn = 70 người) được mời về chỉ đạo, kiểm tra và tham dự lễ hội, lái xe 14 người, Lãnh đạo Sở Văn hóa và Thể thao Ninh Bình đón tiếp và cán bộ phục vụ 20 người Tổng cộng 104 người x 02 bữa";300000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
6;;Chi phí;phòng;Chi phí phòng nghỉ cho phóng viên các Đài truyền hình VN,   VTV3, VTV1, VTV2, Báo Văn hóa, Báo dân trí, Báo lao động, Báo điện tử tổ quốc, (8 đoàn x 4 người = 32 người = 16 phòng) được mời về đưa tin lễ hội,;800000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
7;;Chi phí;người;Chi phí ăn cho phóng viên các Đài truyền hình VH,  VTV3, VTV1, VTV2, Báo Văn hóa, Báo dân trí, Báo lao động, Báo điện tử tổ quốc, (8 đoàn x 4 người = 36 người x 2 bữa) được mời về đưa tin lễ hội,;300000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
8;;Giấy mời;cái;"Giấy mời: KT 19,5 x 22,6cm; Giấy ý màu kem, vân ganh (sần)";15000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
9;;Phong bì;cái;"Phong bì: KT: 12 x 21 cm; Giấy ý màu kem, vân ganh (sần)";15000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
10;;Thẻ đại biểu, kích thước;bộ;Thẻ đại biểu, kích thước: 8,5 x 13cm, in hai mặt (gồm giấy in, thẻ nhựa và dây đeo 1,5cm);12000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
11;;Thẻ ban tổ chức, kích thước;bộ;Thẻ ban tổ chức, kích thước: 8,5 x13cm, in hai mặt;12000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
12;;Thẻ Phóng viên, kích thước;bộ;Thẻ Phóng viên, kích thước: 8,5 x13cm, in hai mặt;12000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
13;;Thẻ VIP, kích thước;bộ;Thẻ VIP, kích thước: 8,5 x 13cm, in hai mặt;12000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
14;;Thẻ phục vụ, kích thước;bộ;Thẻ phục vụ, kích thước: 8,5 x 13cm, in hai mặt;12000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
15;;Biển VIP, kích thước;cái;Biển VIP, kích thước: 25 x 16cm (in 1 mặt giấy Couches Nhật bóng, ĐL 250gm);10000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
16;;Biển ban tổ chức, kích thước;cái;Biển ban tổ chức, kích thước: 25 x 16cm;10000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
17;;Biển đại biểu, kích thước;cái;Biển đại biểu, kích thước: 25 x 16cm;10000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
18;;Biển phục vụ, kích thước;cái;Biển phục vụ, kích thước: 25 x 16cm;10000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
19;;Băng rôn ngang;m2;QC: Nội dung in phun bạt, gia công dán viền, cán tre, dây thép 2 ly, nhân công treo mắc thu hồi KT: 10m x 0,8m x 45 chiếc;100000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
20;;Băng rôn dọc;m2;QC: Nội dung in phun bạt, gia công dán viền, cán tre, dây thép 2 ly, nhân công treo mắc thu hồi KT: 2,5m x 0,8m x 300 chiếc;100000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
21;;Khung thép hộp ;m2;Khung thép hộp ((25x25)x 1,2mm), nội dung hình ảnh in bạt 2 lớp chống xuyên sáng, vật liệu và nhân công lắp đặt;250000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
22;;Gia công giá treo ôm cột đèn ( trên + duới pano): 140 pano x 2 bộ;bộ;"Thép V(40x40mm) x dài 04m khoan lỗ Q12
Bu lông + ê cu mỗi pano 2 bộ";60000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
23;;Xe vận chuyển + nhân công lắp đặt trọn gói trong phạm vi 200km;trọn gói;Xe vận chuyển + nhân công lắp đặt trọn gói trong phạm vi 200km;5000000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
24;;Chi phí thiết kế maket, in ấn trình duyệt  theo maket;trọn gói;Chi phí thiết kế maket, in ấn trình duyệt  theo maket;3118000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
25;;Chi phí tháo dỡ, vận chuyển về nhập kho trọn gói trong phạm vi 200km;trọn gói;Chi phí tháo dỡ, vận chuyển về nhập kho trọn gói trong phạm vi 200km;4500000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
26;;Biển chức danh để bàn;chiếc;Đế gỗ, hoa văn inox, mặt meca trong dầy 10mm, in màu 2 mặt tên đại biểu KT: mặt meca 24cm x 12m;200000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
27;;"Biển chỉ dẫn vị trí ngồi sân khấu Lễ hội ""Lối vào"" ";chiếc;"Khung thép hộp mạ kẽm, nền fomech dầy 5 ly, in PP dán phủ mặt; Chân tự đứng thép hộp
KT: 50cm x 70cm - mặt biển; Chân cao 15m";250000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
28;;"Biển chỉ dẫn vị trí ngồi sân khấu Lễ hội ""Đại biểu các sở, ban ngành, đoàn thể của tỉnh""";chiếc;"Khung thép hộp mạ kẽm, nền fomech dầy 5 ly, in PP dán phủ mặt; Chân tự đứng thép hộp
KT: 25cm x 40cm - mặt biển; Chân cao 15m";150000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
29;;Khảo sát xây dựng sơ đồ và sắp xếp vị trí các hoạt động tại sân lễ hội Hoa Lư;trọn gói;Khảo sát xây dựng sơ đồ và sắp xếp vị trí các hoạt động tại sân lễ hội Hoa Lư;2000000;405/2025/156/CTTĐG_VNVIC;28/11/2025;…;Phạm Thùy Linh
30;;XUẤT BẢN 04 TẠP CHÍ THANH HÓA XƯA VÀ NAY TIẾP THEO;Tạp chí;"*	Chi phí xuất bản 01 tạp chí	 	 	 	-57364196	 
1	Khảo sát, điều tra, thu thập tư liệu	 	 	 	-11200000	 
-	Thuê xe 05 chỗ đi từ thành phố Thanh Hóa đến các huyện và các xã trên địa bàn huyện để điều tra, thu thập tư liệu (đi và về): 01 xe/3Ngày-6000000	Điều 1, NQ 64/2017/NQ-HĐND  ngày 12/7/2017, và theo thực tế
-	Phụ cấp lưu trú: 04 người x 200000 đ/người/ngày x 03 ngày-2400000	khoản 2, mục II, NQ 64/2017/NQ-HĐND ngày 12/7/2017
-	Kinh phí thuê phòng nghỉ:  04 người x 350000 đ/người/ngày x 02 đêm-2800000	mục II33,1   NQ 64/2017/NQ-HĐND ngày 12/7/2017
2	Hội nghị tuyển chọn thông qua bản thảo:  (1 ngày)-711100	 
 -	Photo tài liệu 2 mặt A4, đóng bìa hệ thống bản thảo báo cáo: 42 trang/13bộ -191100
 -	Nước uống phục vụ hội nghị	13 Người-520000	NQ 64/2017/NQ-HĐND ngày 12/7/2017
3	Hội nghị thẩm định tư liệu, đối chiếu tư liệu:  (1 ngày)-711100	 
 -	Photo tài liệu 2 mặt A4, đóng bìa hệ thống bản thảo báo cáo: 42 trang/13bộ-191100
 -	Nước uống phục vụ hội nghị	13 Người-520000	NQ 64/2017/NQ-HĐND ngày 12/7/2017
4	Chi phí in ấn-37700000	 
 -	In 1000 cuốn/số x 01 số
Khổ 19x27cm, ruột 110 trang, bìa in màu, giấy 80gsm, cán mờ, gia công, phay gáy và keo nhiệt Vận chuyển về địa phương-	35000000	
 -	Dàn trang soát lỗi, thực hiện thiết kế bìa, chế bản nội dung và hình ảnh, xử lý kỹ mỹ thuật tranh ảnh xen lẫn nội dung cuốn sách trước khi in	Trọn gói-2500000
 -	Chi phí in sách mẫu phục vụ thẩm định, đọc duyệt trước khi xuất bản	5 cuốn 	200000
5	Nhuận bút tác giả (18%)-7041996	Điều 13 và khoản 1, điều 14 của NĐ 18/2014/NĐ-CP ngày 14/3/2014";57364196;405/2025/279/CTTĐG-VNVIC;28/11/2025;…;Đỗ Tiến Hưng
